Reference, Value, Footprint, Datasheet, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, PARTREV, STANDARD, Mouser Price/Stock, Description, Height
"U1","Z8601720ASG","QFP50P1600X1600X160-100N","~","Zilog","1.60mm","Zilog","~","~","Jan, 2005","IPC-7351B","","",""
"J1","PCMCIA Connector","IC1F-68RD-1.27SF_52:IC1F-68RD-1.27SF(52)","https://www.mouser.co.uk/datasheet/2/185/hirose_electric_hiros11303-1-1735566.pdf","","","Hirose","IC1F-68RD-1.27SF(52)","798-IC1F68RD127SF52","","","https://www.mouser.co.uk/ProductDetail/798-IC1F68RD127SF52","",""
"JP2","X.XV","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"JP3","Write Protect","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels","~"
"U4","YAC516-E","Package_SO:TSSOP-24_6.1x7.8mm_P0.65mm","~","","","Yamaha","~","~","","","","",""
"TP1","R","TestPoint:TestPoint_Pad_D1.0mm","~"
"U3","YMF289B-S","Package_QFP:TQFP-48_7x7mm_P0.5mm","~","","","Yamaha","~","~","","","","",""
"IC4","TPA152DR","SOIC127P600X175-8N","http://www.ti.com/lit/gpn/tpa152","1.6","","Texas Instruments","TPA152DR","595-TPA152DR","","","https://www.mouser.co.uk/ProductDetail/595-TPA152DR","Hi-Fi, Stereo Headphone Audio Amplifier","1.75"
"C9","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"C11","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"C12","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"C14","330u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","https://www.mouser.co.uk/datasheet/2/281/1/GRM32EC80E337ME05_01A-1988111.pdf","","","Murata","GRM32EC80E337ME05L","81-GRM32EC80E337ME5L","","","https://www.mouser.co.uk/ProductDetail/81-GRM32EC80E337ME5L","",""
"C10","330u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","https://www.mouser.co.uk/datasheet/2/281/1/GRM32EC80E337ME05_01A-1988111.pdf","","","Murata","GRM32EC80E337ME05L","81-GRM32EC80E337ME5L","","","https://www.mouser.co.uk/ProductDetail/81-GRM32EC80E337ME5L","",""
"C13","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"R4","20k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.mouser.co.uk/datasheet/2/315/AOA0000C334-1314047.pdf","","","Panasonic","ERJ-U02F3901X","667-ERJ-U02F3901X","","","","",""
"R8","20k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.mouser.co.uk/datasheet/2/315/AOA0000C334-1314047.pdf","","","Panasonic","ERJ-U02F3901X","667-ERJ-U02F3901X","","","","",""
"C3","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"C6","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"C2","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"C4","10u","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","https://www.mouser.co.uk/datasheet/2/315/ABE0000C49-844570.pdf","","","Panasonic","EEF-CS1D100R","667-EEF-CS1D100R","","","https://www.mouser.co.uk/ProductDetail/667-EEF-CS1D100R","",""
"C7","10u","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","https://www.mouser.co.uk/datasheet/2/315/ABE0000C49-844570.pdf","","","Panasonic","EEF-CS1D100R","667-EEF-CS1D100R","","","https://www.mouser.co.uk/ProductDetail/667-EEF-CS1D100R","",""
"C1","10u","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","https://www.mouser.co.uk/datasheet/2/315/ABE0000C49-844570.pdf","","","Panasonic","EEF-CS1D100R","667-EEF-CS1D100R","","","https://www.mouser.co.uk/ProductDetail/667-EEF-CS1D100R","",""
"R1","10","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C16","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"C15","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"R10","3.9k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","","","","","","","","https://www.mouser.co.uk/ProductDetail/667-ERJ-XGNJ392Y","",""
"C18","12p","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","","","Murata","GJM0335G2A120GB01D","GJM0335G2A120GB01D","","","https://www.mouser.co.uk/ProductDetail/81-GJM0335G2A120GB1D","",""
"Y2","33.868MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","https://www.mouser.co.uk/datasheet/2/281/1/SPEC_XRCPB33M868F0L00R0-2580714.pdf","","","Murata Electronics","XRCPB33M868F0L00R0","81-XRCPB33M868F0L0R0","","","https://www.mouser.co.uk/ProductDetail/81-XRCPB33M868F0L0R0","",""
"IC1","SV 3.3V","Package_TO_SOT_SMD:SOT-23","https://www.ti.com/lit/ds/symlink/tlv803e.pdf","","","Texas Instruments","TLV803EB33VDBZR","595-TLV803EB33VDBZR","","","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV803EB33VDBZR?qs=81r%252BiQLm7BTmCXt3yi%252BCAg%3D%3D","",""
"TP2","L","TestPoint:TestPoint_Pad_D1.0mm","~"
"J2","Headphones Out","Connector_PinHeader_1.27mm:PinHeader_1x03_P1.27mm_Vertical","~"
"C8","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"Y1","4.19MHz","Package_TO_SOT_SMD:SOT-323_SC-70","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf","","","Maxim Integrated","MAX7375AXR425+T","700-MAX7375AXR425T","","","https://www.mouser.co.uk/ProductDetail/700-MAX7375AXR425T","",""
"R11","20k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C17","12p","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","","","Murata","GJM0335G2A120GB01D","GJM0335G2A120GB01D","","","https://www.mouser.co.uk/ProductDetail/81-GJM0335G2A120GB1D","",""
"IC3","SV 4.5V","Package_TO_SOT_SMD:SOT-23","https://www.ti.com/lit/ds/symlink/tlv809e.pdf","","","Texas Instruments","TLV809EA45DBZR","595-TLV809EA45DBZR","","","https://www.mouser.co.uk/ProductDetail/595-TLV809EA45DBZR","",""
"RN1","20k","Resistor_SMD:R_Array_Convex_4x1206","https://www.mouser.co.uk/datasheet/2/315/AOC0000C14-1108062.pdf","","","Panasonic","EXB-28V203JX","667-EXB-28V203JX","","","","",""
"C5","0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1063_X8R_FT_CAP_SMD-1279429.pdf","","","KEMET","C1206X104G4HACTU","80-C1206X104G4HACTU","","","https://www.mouser.co.uk/ProductDetail/80-C1206X104G4HACTU","",""
"JP1","3.3V","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
"IC2","74LVC1G00","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://www.ti.com/lit/ds/symlink/sn74lvc1g38.pdf","","","Texas Instruments","SN74LVC1G38DBVRE4","595-74LVC1G38DBVRE4","","","","",""
"D1","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","https://www.mouser.co.uk/datasheet/2/258/BAV19WS_BAV21WS_SOD_323_-2510325.pdf","","","MCC","BAV19WS-TP","833-BAV19WS-TP","","","","",""
"U2","25LCxxx","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21832H.pdf","","","Microchip Technology ","25LC020A-E/SN","579-25LC020A-E/SN","","","https://www.mouser.co.uk/ProductDetail/579-25LC020A-E-SN","",""
